MP,Party,PGroup,Constituency,Gender,Advice,BooksArticles,Job,Speeches,Survey,TVRadio,Uncategorised,Total,Party_Conservative,Party_Labour,Party_Liberal.Democrat,Party_Other,Party_Scottish.National.Party,ons_id,ons_region_id,county_name,region_name,country_name,constituency_type,declaration_time,result,first_party,second_party,electorate,valid_votes,invalid_votes,majority,con,lab,ld,ukip,green,snp,pc,dup,sf,sdlp,uup,alliance,other,other_winner,conp,labp,majp,birth_date,email,family_name,gender,given_name,id,image,sort_name,honorific_prefix,death_date,dob,age,wiki,alma,oxbridge,totalfit,confit,labfit,xcentre,ycentre
Boris Johnson,Conservative,Conservative,Uxbridge And South Ruislip,Male,0,54135.73,274992,450475.21,0,0,16264.5,795867.44,1,0,0,0,0,E14001007,E12000007,London,London,England,Borough,09/06/2017 02:48,Con hold,Con,Lab,69936,46694,84,5034,23716,18682,1835,1577,884,0,0,0,0,0,0,0,0,0,0.507902514,0.400094231,10.7808284,19/06/1964,boris.johnson.mp@parliament.uk,Johnson,male,Boris,2052c5d9-af0a-443e-ac35-98eb0cf40f80,https://candidates.democracyclub.org.uk/media/images/54cd19f4668e142f73d3b4a9.png,"Johnson, Boris",The Right Honourable,NA,19/06/1964,57,https://en.wikipedia.org/wiki/Boris_Johnson,"Balliol College, Oxford (BA)",TRUE,3314.156794,5552.181485,NA,-1.923695557,51.91086655
Nicholas Soames,Conservative,Conservative,Mid Sussex,Male,0,0,599419,7000,0,0,0,606419,1,0,0,0,0,E14000817,E12000008,West Sussex,South East,England,County,09/06/2017 04:05,Con hold,Con,Lab,84170,61632,113,19673,35082,15409,7855,1251,1571,0,0,0,0,0,0,0,464,0,0.56921729,0.250016225,31.9201064,12/02/1948,nicholas.soames.mp@parliament.uk,Soames,male,Nicholas,61b114a6-4465-48ba-b644-8a3971382a8b,https://candidates.democracyclub.org.uk/media/images/553570ff367dc5383f552cc3.png,"Soames, Sir Nicholas",The Right Honourable,NA,12/02/1948,73,https://en.wikipedia.org/wiki/Nicholas_Soames,Mons Officer Cadet School,FALSE,4267.734375,10668.3441,NA,0.250925764,51.11480417
Owen Paterson,Conservative,Conservative,North Shropshire,Male,0,0,362309,0,0,0,3561,365870,1,0,0,0,0,E14000849,E12000005,Shropshire,West Midlands,England,County,09/06/2017 04:35,Con hold,Con,Lab,80535,55599,146,16355,33642,17287,2948,0,1722,0,0,0,0,0,0,0,0,0,0.605082825,0.310922858,29.4159967,24/06/1956,Patersono@parliament.uk,NA,male,Owen,1eac4422-edd6-4518-9cd3-08cbc0e6aa59,https://candidates.democracyclub.org.uk/media/images/55350c2ab247335574a42e69.png,"Paterson, Mr Owen",The Right Honourable,NA,24/06/1956,65,https://en.wikipedia.org/wiki/Owen_Paterson,"Corpus Christi College, Cambridge",TRUE,4141.787815,9874.121486,NA,-3.011007437,54.40283454
Ed Vaizey,Conservative,Conservative,Wantage,Male,19000,200,302861,26217.75,0,0,0,348278.75,1,0,0,0,0,E14001015,E12000008,Oxfordshire,South East,England,County,09/06/2017 04:46,Con hold,Con,Lab,85786,63602,156,17380,34459,17079,9234,1284,1546,0,0,0,0,0,0,0,0,0,0.541791139,0.268529292,27.3261847,05/06/1968,vaizeye@parliament.uk,Vaizey,male,Ed,3646a9c1-f54c-41bc-9981-8ad5698e8120,https://candidates.democracyclub.org.uk/media/images/551b393a13eb34c82843cb58.png,"Vaizey, Mr Edward",The Right Honourable,NA,05/06/1968,53,https://en.wikipedia.org/wiki/Ed_Vaizey,"Merton College, Oxford",TRUE,4039.528732,9256.753541,NA,-2.739178864,52.40135894
John Redwood,Conservative,Conservative,Wokingham,Male,0,360,214961.3333,0,0,0,46942.45,262263.7833,1,0,0,0,0,E14001048,E12000008,Berkshire,South East,England,County,09/06/2017 02:45,Con hold,Con,Lab,79111,59690,199,18798,33806,15008,9512,0,1364,0,0,0,0,0,0,0,0,0,0.566359524,0.251432401,31.4927123,15/06/1951,john.redwood.mp@parliament.uk,Redwood,male,John,0cb313bb-1c86-4054-adb9-d8527f652601,https://candidates.democracyclub.org.uk/media/images/553baaa0a8c0192f732ca8d0.png,"Redwood, John",The Right Honourable,NA,15/06/1951,70,https://en.wikipedia.org/wiki/John_Redwood,"All Souls College, Oxford (DPhil)St Antony's College, Oxford (MPhil)Magdalen College, Oxford (BA)",TRUE,4245.970298,10528.40332,NA,-3.011007437,51.31512395
Jacob Rees-Mogg,Conservative,Conservative,North East Somerset,Male,173753.04,20280,0,30323.52,0,9800,11600,245756.56,1,0,0,0,0,E14000846,E12000009,Avon,South West,England,County,09/06/2017 03:43,Con hold,Con,Lab,71355,54043,104,10235,28992,18757,4461,0,1245,0,0,0,0,0,0,0,588,0,0.536461706,0.347075477,18.9386229,24/05/1969,jacob.reesmogg.mp@parliament.uk,NA,male,Jacob,8511e078-6257-4dc9-94e2-14494d874775,https://candidates.democracyclub.org.uk/media/images/554748bc70823d2655a7c7a5.png,"Rees-Mogg, Mr Jacob",The Honourable,NA,24/05/1969,52,https://en.wikipedia.org/wiki/Jacob_Rees-Mogg,"Trinity College, Oxford",TRUE,3653.886263,7143.642993,NA,-3.826490034,51.21507325
Thomas Tugendhat,Conservative,Conservative,Tonbridge And Malling,Male,235500,520,0,0,0,0,4700,240720,1,0,0,0,0,E14000997,E12000008,Kent,South East,England,County,09/06/2017 03:15,Con hold,Con,Lab,77417,56907,108,23508,36218,12710,3787,1857,2335,0,0,0,0,0,0,0,0,0,0.636441914,0.223346864,41.309505,27/06/1973,tom.tugendhat.mp@parliament.uk,NA,male,Tom,84bebaf9-1fc0-4e6a-9c96-61616dc00dd0,https://candidates.democracyclub.org.uk/media/images/5481e77bb150e238702c0533.png,"Tugendhat, Tom",NA,NA,27/06/1973,48,https://en.wikipedia.org/wiki/Tom_Tugendhat,"University of Bristol (BA)Gonville and Caius College, Cambridge (MPhil)",TRUE,4775.049454,14258.63596,NA,-1.923695557,51.11480417
Edward Davey,Lib Dem,Other,Kingston And Surbiton,Male,0,0,235333.3333,0,0,0,0,235333.3333,0,0,1,0,0,E14000770,E12000007,London,London,England,Borough,09/06/2017 03:36,LD gain from Con,LD,Con,81588,62178,87,4124,23686,9203,27810,675,536,0,0,0,0,0,0,0,268,0,0.380938596,0.14801055,6.632571,25/12/1965,edward.davey.mp@parliament.uk,Davey,male,Edward,b16148db-7312-4fea-91bb-fb167345aa75,https://upload.wikimedia.org/wikipedia/commons/b/ba/Official_portrait_of_Sir_Edward_Davey_crop_2.jpg,"Davey, Sir Edward",The Right Honourable,NA,25/12/1965,55,https://en.wikipedia.org/wiki/Ed_Davey,"Jesus College, OxfordBirkbeck, University of London",TRUE,3153.709743,NA,NA,-1.651868975,51.21507325
Andrew Mitchell,Conservative,Conservative,Sutton Coldfield,Male,0,0,202502.0833,0,0,200,27000,229702.0833,1,0,0,0,0,E14000985,E12000005,West Midlands,West Midlands,England,Borough,09/06/2017 02:24,Con hold,Con,Lab,75652,52858,141,15339,32224,16885,2302,0,965,0,0,0,0,0,0,0,482,0,0.609633357,0.319440766,29.0192591,23/03/1956,andrew.mitchell.mp@parliament.uk,Mitchell,male,Andrew,6a96c3e2-c057-4bff-8d51-9df52706a58f,https://candidates.democracyclub.org.uk/media/images/5534f30cb247335574a42e23.png,"Mitchell, Mr Andrew",The Right Honourable,NA,23/03/1956,65,https://en.wikipedia.org/wiki/Andrew_Mitchell,"Jesus College, Cambridge",TRUE,4122.177478,9753.832532,NA,-1.923695557,53.65146285
Michael Fallon,Conservative,Conservative,Sevenoaks,Male,0,2275,181707,8000,0,0,6000,197982,1,0,0,0,0,E14000918,E12000008,Kent,South East,England,County,09/06/2017 02:09,Con hold,Con,Lab,71565,51218,146,21917,32644,10727,4280,1894,1673,0,0,0,0,0,0,0,0,0,0.637354055,0.209438088,42.7915967,14/05/1952,michael.fallon.mp@parliament.uk,Fallon,male,Michael,03c9e793-ddb9-4694-8e2b-96e1440cb5d2,https://candidates.democracyclub.org.uk/media/images/553500c3b247335574a42e4d.png,"Fallon, Sir Michael",The Right Honourable,NA,14/05/1952,69,https://en.wikipedia.org/wiki/Michael_Fallon,Epsom College,FALSE,4860.464166,14926.6979,NA,-1.923695557,51.31512395
Henry Bellingham,Conservative,Conservative,North West Norfolk,Male,0,0,162907,0,0,0,0,162907,1,0,0,0,0,E14000859,E12000006,Norfolk,East,England,County,09/06/2017 03:09,Con hold,Con,Lab,72062,48811,80,13788,29408,15620,1393,1539,851,0,0,0,0,0,0,0,0,0,0.602487144,0.320009834,28.247731,29/03/1955,bellinghamh@parliament.uk,Bellingham,male,Henry,f45fcf28-da42-43ca-994f-431ef1b2c701,https://candidates.democracyclub.org.uk/media/images/5535ce71367dc5383f552ced.png,"Bellingham, Sir Henry",NA,NA,29/03/1955,66,https://en.wikipedia.org/wiki/Henry_Bellingham,"Magdalene College, Cambridge",TRUE,4084.307075,9524.0885,NA,-0.020900444,53.36618925
Edward Leigh,Conservative,Conservative,Gainsborough,Male,0,0,154166.6667,0,0,0,0,154166.6667,1,0,0,0,0,E14000707,E12000004,Lincolnshire,East Midlands,England,County,09/06/2017 03:07,Con hold,Con,Lab,75893,51425,150,17023,31790,14767,3630,0,1238,0,0,0,0,0,0,0,0,0,0.618181818,0.287156053,33.1025766,20/07/1950,edward.leigh.mp@parliament.uk,Leigh,male,Edward,8364c43c-2816-49c9-9a93-1b27e31a5f01,https://candidates.democracyclub.org.uk/media/images/images/3556.png,"Leigh, Sir Edward",NA,NA,20/07/1950,71,https://en.wikipedia.org/wiki/Edward_Leigh,"University College, Durham",FALSE,4328.532041,11065.28606,NA,-0.292727345,54.40283454
Mark Pritchard,Conservative,Conservative,The Wrekin,Male,0,0,144128,0,0,0,0,144128,1,0,0,0,0,E14000992,E12000005,Shropshire,West Midlands,England,County,09/06/2017 02:56,Con hold,Con,Lab,68604,49523,115,9564,27451,17887,1345,1656,804,0,0,0,0,0,0,0,380,0,0.554308099,0.361185712,19.3122388,22/11/1966,pritchardm@parliament.uk,Pritchard,male,Mark,8beb14f9-fd86-46aa-923c-3ba24a7403ac,https://candidates.democracyclub.org.uk/media/images/553ba6b710284be476aae899.png,"Pritchard, Mark",NA,NA,22/11/1966,55,https://en.wikipedia.org/wiki/Mark_Pritchard_(politician),London Guildhall University,FALSE,3670.253495,7226.577777,NA,-2.467350417,54.40283454
Jo Johnson,Conservative,Conservative,Orpington,Male,0,87750,8334,11000,0,0,30600,137684,1,0,0,0,0,E14000872,E12000007,London,London,England,Borough,09/06/2017 03:29,Con hold,Con,Lab,67902,50461,104,19461,31762,12301,3315,2023,1060,0,0,0,0,0,0,0,0,0,0.629436595,0.243772418,38.5664176,23/12/1971,jo.johnson.mp@parliament.uk,Johnson,male,Jo,19385dcf-28ca-4b60-a9c9-f4832f3948ce,https://candidates.democracyclub.org.uk/media/images/553b8d6ba621e036281d5743.png,"Johnson, Joseph",NA,NA,23/12/1971,49,https://en.wikipedia.org/wiki/Jo_Johnson,"Balliol College, Oxford (BA)Université libre de BruxellesINSEAD (MBA)",TRUE,4620.902286,13100.0509,NA,-0.292727345,51.11480417
David Davis,Conservative,Conservative,Haltemprice And Howden,Male,0,500,50000,79000,0,0,5866.66,135366.66,1,0,0,0,0,E14000724,E12000003,Humberside,Yorkshire and The Humber,England,County,09/06/2017 03:59,Con hold,Con,Lab,71519,51440,159,15405,31355,15950,2482,0,711,0,0,0,0,0,0,0,942,0,0.609545101,0.310069984,29.9475117,23/12/1948,david.davis.mp@parliament.uk,Davis,male,David,8869fbe7-8a02-45ba-a7b1-1222a0ed8403,https://candidates.democracyclub.org.uk/media/images/553509d2b247335574a42e66.png,"Davis, Mr David",The Right Honourable,NA,23/12/1948,72,https://en.wikipedia.org/wiki/David_Davis_(British_politician),"
University of Warwick (BSc)
London Business School (MBA)
Harvard University (AMP)",FALSE,4168.206358,10037.60255,NA,-0.292727345,54.95748631
Nadine Dorries,Conservative,Conservative,Mid Bedfordshire,Female,0,110200,0,0,0,7920,9641,127761,1,0,0,0,0,E14000813,E12000006,Bedfordshire,East,England,County,09/06/2017 02:07,Con hold,Con,Lab,84161,63138,185,20983,38936,17953,3788,0,1794,0,0,0,0,0,0,0,667,0,0.616680921,0.284345402,33.2335519,21/05/1957,dorriesn@parliament.uk,Dorries,female,Nadine,15277ba3-b652-426d-8f99-b7b0e612dc4a,https://candidates.democracyclub.org.uk/media/images/553be928a51642637514d64f.png,"Dorries, Ms Nadine",NA,NA,21/05/1957,64,https://en.wikipedia.org/wiki/Nadine_Dorries,NA,NA,4335.319302,11110.15171,NA,-0.836384233,52.69306362
Daniel Kawczynski,Conservative,Conservative,Shrewsbury And Atcham,Male,0,0,126000,0,0,0,0,126000,1,0,0,0,0,E14000926,E12000005,Shropshire,West Midlands,England,County,09/06/2017 03:59,Con hold,Con,Lab,79043,58203,109,6627,29073,22446,4254,1363,1067,0,0,0,0,0,0,0,0,0,0.499510335,0.385650224,11.386011,24/01/1972,kawczynskid@parliament.uk,Kawczynski,male,Daniel,c6e09c2d-40c8-4fee-8b64-c4dfa10ee38f,https://candidates.democracyclub.org.uk/media/images/553c30b3fc4fe0dc23f26c6c.png,"Kawczynski, Daniel",NA,NA,24/01/1972,49,https://en.wikipedia.org/wiki/Daniel_Kawczynski,University of Stirling,FALSE,3338.236801,5656.966524,NA,-3.011007437,54.21626336
Geoffrey Cox,Conservative,Conservative,Torridge And West Devon,Male,123390.19,0,0,0,0,0,0,123390.19,1,0,0,0,0,E14001000,E12000009,Devon,South West,England,County,09/06/2017 05:42,Con hold,Con,Lab,80524,59480,144,20686,33612,12926,10526,0,1622,0,0,0,0,0,0,0,794,0,0.565097512,0.217316745,34.7780767,30/04/1960,coxg@parliament.uk,Cox,male,Geoffrey,ecaccaf9-bee4-421d-863d-8478d283d34f,https://candidates.democracyclub.org.uk/media/images/5535756e367dc5383f552ce1.png,"Cox, Mr Geoffrey",NA,NA,30/04/1960,61,https://en.wikipedia.org/wiki/Geoffrey_Cox_(British_politician),"Downing College, Cambridge",TRUE,4416.165268,11653.15272,NA,-5.457458404,50.61018369
Bob Neill,Conservative,Conservative,Bromley And Chislehurst,Male,10000,0,109456,0,0,0,0,119456,1,0,0,0,0,E14000604,E12000007,London,London,England,Borough,09/06/2017 04:07,Con hold,Con,Lab,65117,46662,119,9590,25175,15585,3369,1383,1150,0,0,0,0,0,0,0,0,0,0.539518238,0.333997685,20.5520552,24/06/1952,bob.neill.mp@parliament.uk,Neill,male,Bob,faebd21b-ea1e-4a94-99ef-09149e8457e0,https://candidates.democracyclub.org.uk/media/images/55225877328bff5d39338a5c.png,"Neill, Robert",NA,NA,24/06/1952,69,https://en.wikipedia.org/wiki/Bob_Neill,London School of Economics,FALSE,3725.094086,7508.751785,NA,0.250925764,51.31512395
John Hayes,Conservative,Conservative,South Holland And The Deepings,Male,0,0,118333.3333,0,0,0,0,118333.3333,1,0,0,0,0,E14000939,E12000004,Lincolnshire,East Midlands,England,County,09/06/2017 02:50,Con hold,Con,Lab,76374,50315,84,24897,35179,10282,1433,2185,894,0,0,0,0,0,0,0,342,0,0.699175196,0.204352579,49.4822618,23/06/1958,hayesj@parliament.uk,Hayes,male,John,0f316d11-27f5-4dd9-b94c-94f1d36a58bc,https://candidates.democracyclub.org.uk/media/images/55357097367dc5383f552cc1.png,"Hayes, Sir John",The Right Honourable,NA,23/06/1958,63,https://en.wikipedia.org/wiki/John_Hayes_(British_politician),University of Nottingham,FALSE,5265.475302,18354.17309,NA,-0.020900444,53.9348184
Fiona Bruce,Conservative,Conservative,Congleton,Female,117856.71,0,0,0,0,0,0,117856.71,1,0,0,0,0,E14000646,E12000002,Cheshire,North West,England,County,09/06/2017 04:07,Con hold,Con,Lab,76694,56231,98,12619,31830,19211,2902,1289,999,0,0,0,0,0,0,0,0,0,0.566057868,0.341644289,22.441358,26/03/1957,fiona.bruce.mp@parliament.uk,Bruce,female,Fiona,143ea45d-404b-4248-b327-1f052c801536,https://candidates.democracyclub.org.uk/media/images/55238baf944e4aac612ace65.png,"Bruce, Fiona",NA,NA,26/03/1957,64,https://en.wikipedia.org/wiki/Fiona_Bruce_(politician),Victoria University of Manchester,FALSE,3810.243149,7960.075897,NA,-3.554664341,53.27067086
Ranil Jayawardena,Conservative,Conservative,North East Hampshire,Male,0,0,115133.3333,0,1425,0,0,116558.3333,1,0,0,0,0,E14000844,E12000008,Hampshire,South East,England,County,09/06/2017 05:35,Con hold,Con,Lab,74576,57627,121,27772,37754,9982,6987,1061,1476,0,0,0,0,0,0,0,367,0,0.65514429,0.173217415,48.1926875,03/09/1986,email@ranil.uk,NA,male,NA,4489bad1-0749-475f-beaa-ffe5db7a03e5,https://candidates.democracyclub.org.uk/media/images/images/4217.png,"Jayawardena, Mr Ranil",NA,NA,03/09/1986,35,https://en.wikipedia.org/wiki/Ranil_Jayawardena,London School of Economics,FALSE,5184.870204,17637.30142,NA,-3.011007437,51.11480417
Hugo Swire,Conservative,Conservative,East Devon,Male,3500,0,103743.6667,0,0,0,0,107243.6667,1,0,0,0,0,E14000678,E12000009,Devon,South West,England,County,09/06/2017 04:18,Con hold,Con,Ind,82369,60382,61,8036,29306,6857,1468,1203,0,0,0,0,0,0,0,0,21548,0,0.485343314,0.113560333,13.3086019,30/11/1959,hugo.swire.mp@parliament.uk,Swire,male,Hugo,bf535961-e2b4-40ee-bc52-7223792e1db0,https://candidates.democracyclub.org.uk/media/images/5524a5fdf0e9e2c82406ebc5.png,"Swire, Sir Hugo",The Right Honourable,NA,30/11/1959,62,https://en.wikipedia.org/wiki/Hugo_Swire,University of St AndrewsRoyal Military Academy Sandhurst,FALSE,3415.90297,6003.157086,NA,-4.913802035,50.40680446
Stephen McPartland,Conservative,Conservative,Stevenage,Male,0,0,106314,0,0,0,0,106314,1,0,0,0,0,E14000968,E12000006,Hertfordshire,East,England,County,09/06/2017 02:43,Con hold,Con,Lab,70765,49327,141,3386,24798,21412,2032,0,1085,0,0,0,0,0,0,0,0,0,0.502726701,0.434082754,6.8643948,09/08/1976,stephen.mcpartland.mp@parliament.uk,McPartland,male,Stephen,ea06007e-372a-4def-8516-17686652a334,https://candidates.democracyclub.org.uk/media/images/550c0b363be3632f3135c9e3.png,"McPartland, Stephen",NA,NA,09/08/1976,45,https://en.wikipedia.org/wiki/Stephen_McPartland,University of Liverpool (BA) Liverpool John Moores University (MSc),FALSE,3162.467766,4919.437451,NA,-0.292727345,52.69306362
Ian Blackford,SNP,Other,"Ross, Skye And Lochaber",Male,0,0,99246.00001,0,0,0,0,99246.00001,0,0,0,0,1,S14000055,S92000003,Scotland,Scotland,Scotland,County,09/06/2017 04:12,SNP hold,SNP,Con,53638,38454,49,5919,9561,4695,8042,0,0,15480,0,0,0,0,0,0,676,0,0.248634732,0.12209393,15.3924169,14/05/1961,ian.blackford.mp@parliament.uk,Blackford,male,Ian,328441c2-e473-41dc-b1f8-40c6713c3c4d,https://candidates.democracyclub.org.uk/media/images/553bb888ec0766d3759c0460.png,"Blackford, Ian",NA,NA,14/05/1961,60,https://en.wikipedia.org/wiki/Ian_Blackford,NA,NA,3502.123964,NA,NA,-4.37014495,57.36075775
Jonathan Djanogly,Conservative,Conservative,Huntingdon,Male,0,0,97083.33333,0,0,0,0,97083.33333,1,0,0,0,0,E14000757,E12000006,Cambridgeshire,East,England,County,09/06/2017 02:21,Con hold,Con,Lab,84273,59720,136,14475,32915,18440,5090,2180,1095,0,0,0,0,0,0,0,0,0,0.551155392,0.30877428,24.2381112,03/06/1965,jonathan.djanogly.mp@parliament.uk,NA,male,Jonathan,e984ff42-3c14-4ce4-9423-d042ed40d20a,https://candidates.democracyclub.org.uk/media/images/55356ee4367dc5383f552cb5.png,"Djanogly, Mr Jonathan",NA,NA,03/06/1965,56,https://en.wikipedia.org/wiki/Jonathan_Djanogly,Oxford Polytechnic,TRUE,3893.026098,8414.433805,NA,-1.108212806,53.1749392
