"extra_hours","raw_extra_pay","extra_pay_with_taper","extra_pay_with_tax","extra_pay_with_taper_tax","extra_pay_wa_baseline_0","extra_pay_wa_baseline_7","extra_pay_wa_baseline_8"
0,0,0,0,0,0,0,0
0.01,0.0891,0.032967,0.060588,0.02241756,0.0891,0.0891,0.0891
0.02,0.1782,0.065934,0.121176,0.04483512,0.1782,0.1782,0.1782
0.03,0.2673,0.098901,0.181764,0.06725268,0.2673,0.2673,0.2673
0.04,0.3564,0.131868,0.242352,0.08967024,0.3564,0.3564,0.3564
0.05,0.4455,0.164835,0.30294,0.1120878,0.4455,0.4455,0.4455
0.06,0.5346,0.197802,0.363528,0.13450536,0.5346,0.5346,0.5346
0.07,0.6237,0.230769,0.424116,0.15692292,0.6237,0.6237,0.6237
0.08,0.7128,0.263736,0.484704,0.17934048,0.7128,0.7128,0.7128
0.09,0.8019,0.296703,0.545292,0.20175804,0.8019,0.8019,0.8019
0.1,0.891,0.32967,0.60588,0.2241756,0.891,0.891,0.891
0.11,0.9801,0.362637,0.666468,0.24659316,0.9801,0.9801,0.9801
0.12,1.0692,0.395604,0.727056,0.26901072,1.0692,1.0692,1.0692
0.13,1.1583,0.428571,0.787644,0.29142828,1.1583,1.1583,1.1583
0.14,1.2474,0.461538,0.848232,0.31384584,1.2474,1.2474,1.2474
0.15,1.3365,0.494505,0.90882,0.3362634,1.3365,1.3365,1.3365
0.16,1.4256,0.527472,0.969408,0.35868096,1.4256,1.4256,1.4256
0.17,1.5147,0.560439,1.029996,0.38109852,1.5147,1.5147,1.5147
0.18,1.6038,0.593406,1.090584,0.40351608,1.6038,1.6038,1.6038
0.19,1.6929,0.626373,1.151172,0.42593364,1.6929,1.6929,1.6929
0.2,1.782,0.65934,1.21176,0.4483512,1.782,1.782,1.782
0.21,1.8711,0.692307,1.272348,0.47076876,1.8711,1.8711,1.8711
0.22,1.9602,0.725274,1.332936,0.49318632,1.9602,1.9602,1.9602
0.23,2.0493,0.758241,1.393524,0.51560388,2.0493,2.0493,1.999341
0.24,2.1384,0.791208,1.454112,0.53802144,2.1384,2.1384,2.032308
0.25,2.2275,0.824175,1.5147,0.560439,2.2275,2.2275,2.065275
0.26,2.3166,0.857142,1.575288,0.58285656,2.3166,2.3166,2.098242
0.27,2.4057,0.890109,1.635876,0.60527412,2.4057,2.4057,2.131209
0.28,2.4948,0.923076,1.696464,0.62769168,2.4948,2.4948,2.164176
0.29,2.5839,0.956043,1.757052,0.65010924,2.5839,2.5839,2.197143
0.3,2.673,0.98901,1.81764,0.6725268,2.673,2.673,2.23011
0.31,2.7621,1.021977,1.878228,0.69494436,2.7621,2.7621,2.263077
0.32,2.8512,1.054944,1.938816,0.71736192,2.8512,2.8512,2.296044
0.33,2.9403,1.087911,1.999404,0.73977948,2.9403,2.9403,2.329011
0.34,3.0294,1.120878,2.059992,0.76219704,3.0294,3.0294,2.361978
0.35,3.1185,1.153845,2.12058,0.7846146,3.1185,3.1185,2.394945
0.36,3.2076,1.186812,2.181168,0.80703216,3.2076,3.2076,2.427912
0.37,3.2967,1.219779,2.241756,0.82944972,3.2967,3.2967,2.460879
0.38,3.3858,1.252746,2.302344,0.85186728,3.3858,3.3858,2.493846
0.39,3.4749,1.285713,2.362932,0.87428484,3.4749,3.4749,2.526813
0.4,3.564,1.31868,2.42352,0.8967024,3.564,3.564,2.55978
0.41,3.6531,1.351647,2.484108,0.91911996,3.6531,3.6531,2.592747
0.42,3.7422,1.384614,2.544696,0.94153752,3.7422,3.7422,2.625714
0.43,3.8313,1.417581,2.605284,0.96395508,3.8313,3.8313,2.658681
0.44,3.9204,1.450548,2.665872,0.98637264,3.9204,3.9204,2.691648
0.45,4.0095,1.483515,2.72646,1.0087902,4.0095,4.0095,2.724615
0.46,4.0986,1.516482,2.787048,1.03120776,4.0986,4.0986,2.757582
0.47,4.1877,1.549449,2.847636,1.05362532,4.1877,4.1877,2.790549
0.48,4.2768,1.582416,2.908224,1.07604288,4.2768,4.2768,2.823516
0.49,4.3659,1.615383,2.968812,1.09846044,4.3659,4.3659,2.856483
